"","ccount.BCVAP_2012.RomneyR_12G_President","ccount.HCVAP_2012.RomneyR_12G_President","ccount.WCVAP_2012.RomneyR_12G_President","ccount.OCVAP_2012.RomneyR_12G_President","ccount.X12G_President_CVAP.RomneyR_12G_President","ccount.BCVAP_2012.ObamaD_12G_President","ccount.HCVAP_2012.ObamaD_12G_President","ccount.WCVAP_2012.ObamaD_12G_President","ccount.OCVAP_2012.ObamaD_12G_President","ccount.X12G_President_CVAP.ObamaD_12G_President","ccount.BCVAP_2012.X12G_President_abstain","ccount.HCVAP_2012.X12G_President_abstain","ccount.WCVAP_2012.X12G_President_abstain","ccount.OCVAP_2012.X12G_President_abstain","ccount.X12G_President_CVAP.X12G_President_abstain"
"1",113706.070107375,243184.303698654,4063772.23516852,140049.292513276,6944.6621289685,895777.352636893,1117293.52509673,950321.324739801,340119.250740897,4750.43944587816,1020393.57725573,2848986.17120461,3950898.44009166,205922.456745826,43.8984251533286
"2",108810.42562189,237305.714200331,4074078.20278342,141548.010301334,6961.05867746657,893663.984867683,1120333.40291096,948612.174426972,339152.422004813,4738.99698560338,1027402.58951043,2851824.8828887,3942301.62278961,205390.567693855,38.9443369300447
"3",110266.45217144,238059.749137236,4076173.86673973,136879.520640104,6952.45433707576,901894.108397779,1122092.06593391,934236.491901356,343760.320278236,4733.42347639617,1017716.43943078,2849312.18492886,3954581.64135893,205451.159081661,53.1221865280596
"4",113966.423034374,236744.726979406,4074748.98655869,134798.869510997,6949.53109294189,891725.067328908,1137116.13656165,936265.966379012,340374.778895998,4741.61476747324,1024185.50963672,2835603.13645895,3953977.04706232,210917.351593004,47.8541395848609
"5",115263.013622298,241275.485423289,4072299.98518466,132269.140673432,6981.4184416187,892449.796545426,1125010.47762646,947272.923293833,342685.759379289,4699.88147251872,1022164.18983228,2843178.03695025,3945419.09152151,211136.099947279,57.7000858625658
"6",117683.305256625,246380.251909317,4060939.4904508,136431.261106196,6954.99034094388,887818.367211796,1127678.76465127,952368.243787508,338553.869740335,4729.49345794802,1024375.32753158,2835404.98343941,3951684.2657617,211105.869153469,54.5162011080883
"7",113545.930606378,245677.573018469,4073653.13023243,129853.963015699,6973.07590255939,879939.271633071,1135645.78444443,945630.872188228,339142.202764916,4711.6855573374,1036391.79776055,2828140.64253711,3945707.99757934,217094.834219385,54.2385401031973
"8",111208.05987836,245977.246556508,4078398.87477769,128876.168940059,6973.54978612032,875228.115162096,1152730.38579026,934870.100556175,340315.551434012,4721.86404621372,1043440.82495954,2810756.36765323,3951723.02466612,216899.279625926,43.5861676659472
"9",111386.369675063,242554.399546992,4078818.55261988,128919.914524697,6971.15047518323,882813.916504025,1149321.58159424,934973.357243371,337173.656901913,4716.40010697042,1035676.71382091,2817588.01885876,3951200.09013675,219997.42857339,51.4494178463371
"10",111254.245622707,248073.938308367,4075121.79692836,126938.685753147,6957.87951415134,891513.166501355,1142100.61859134,936944.183834683,333752.511763879,4715.6863604298,1027109.58787594,2819289.4431003,3952926.01923695,225399.802482975,65.43412541885
"11",108207.195726574,253060.336608078,4075285.85918282,126837.867803812,6985.0681124318,886377.687116415,1150278.84044193,932234.670604105,334411.953839855,4708.41148556627,1035292.11715701,2806124.82294999,3957471.47021305,224841.178356333,45.5204020019221
"12",110435.531730988,246997.657134269,4075897.81346331,130358.159913525,6966.77421695838,881284.475104843,1143489.63413985,937535.496712193,340060.272608893,4718.27184202474,1038156.99316417,2818976.70872587,3951558.68982449,215672.567477585,53.9539410168675
"13",109146.174065525,253213.483470028,4074885.16605616,128970.536556001,6944.45004763027,883277.648669023,1141421.95233495,930971.3337119,347514.058390718,4742.50347794312,1037453.17726545,2814828.56419503,3959135.50023193,209606.40505328,52.0464744265986
"14",109272.932697868,254488.882390691,4070226.96744175,127294.001001223,6959.68881626223,887930.087089331,1145761.15024618,930094.70238126,340146.242795494,4740.78956799321,1032673.9802128,2809213.96736313,3964670.330177,218650.756203282,38.5216157445457
"15",111198.20652985,258477.681567538,4067221.83683915,126813.797266295,6922.24482160454,875745.45110799,1147113.37964638,939006.77136337,340470.745925954,4757.46395205525,1042933.34236216,2803872.93878607,3958763.39179748,218806.456807753,59.2912263401859
"16",106996.938016284,260594.13774266,4067109.90064853,129287.213194578,6920.46798052876,884503.00416298,1146306.52174889,925536.64954528,348113.240413108,4757.90423646361,1038377.05782074,2802563.34050845,3972345.44980618,208690.546392314,60.6277830076177
